NFTID	BuyerID	Bid	Category
NFT_91AB06280D4F	BUYER_0002	138.02	Pharmaceutical Company
NFT_91AB06280D4F	BUYER_0001	133.51	AI/ML Company
NFT_EB8EE2CA043C	BUYER_0003	126.52	Academic Researcher
NFT_EB8EE2CA043C	BUYER_0005	103.43	Research Institution
NFT_EB8EE2CA043C	BUYER_0004	94.55	Research Institution
NFT_EB8EE2CA043C	BUYER_0006	94.46	Research Institution
NFT_9DA45C5EA80B	BUYER_0010	123.3	Pharmaceutical Company
NFT_9DA45C5EA80B	BUYER_0009	93.52	Healthcare Provider
NFT_9DA45C5EA80B	BUYER_0008	87.53	Research Institution
NFT_9DA45C5EA80B	BUYER_0007	82.64	AI/ML Company
NFT_357CD4F87A5C	BUYER_0013	87.21	Academic Researcher
NFT_357CD4F87A5C	BUYER_0011	83.22	Pharmaceutical Company
NFT_357CD4F87A5C	BUYER_0012	82.22	Pharmaceutical Company
NFT_357CD4F87A5C	BUYER_0014	78.17	Pharmaceutical Company
NFT_FF3EAC197738	BUYER_0015	74.42	Pharmaceutical Company
NFT_FF3EAC197738	BUYER_0018	61.88	AI/ML Company
NFT_FF3EAC197738	BUYER_0019	56.07	AI/ML Company
NFT_FF3EAC197738	BUYER_0017	49.68	Research Institution
NFT_FF3EAC197738	BUYER_0016	47.19	AI/ML Company
NFT_0F2F96B904FE	BUYER_0022	134.23	Research Institution
NFT_0F2F96B904FE	BUYER_0021	90.0	Academic Researcher
NFT_0F2F96B904FE	BUYER_0020	75.89	Healthcare Provider
NFT_BDA52969830C	BUYER_0025	79.02	AI/ML Company
NFT_BDA52969830C	BUYER_0026	57.55	Pharmaceutical Company
NFT_BDA52969830C	BUYER_0023	56.07	Academic Researcher
NFT_BDA52969830C	BUYER_0024	51.54	Healthcare Provider
NFT_DDC18DF3A660	BUYER_0027	135.28	Academic Researcher
NFT_DDC18DF3A660	BUYER_0029	109.43	Academic Researcher
NFT_DDC18DF3A660	BUYER_0028	105.22	Pharmaceutical Company
NFT_6F6B687357E7	BUYER_0030	97.28	Healthcare Provider
NFT_6F6B687357E7	BUYER_0033	87.01	Pharmaceutical Company
NFT_6F6B687357E7	BUYER_0032	82.22	AI/ML Company
NFT_6F6B687357E7	BUYER_0031	64.09	Academic Researcher
NFT_80EF4A10B6F0	BUYER_0036	162.77	Pharmaceutical Company
NFT_80EF4A10B6F0	BUYER_0034	128.39	AI/ML Company
NFT_80EF4A10B6F0	BUYER_0035	124.53	Academic Researcher
NFT_EB40B7D52013	BUYER_0038	152.31	AI/ML Company
NFT_EB40B7D52013	BUYER_0039	142.15	Pharmaceutical Company
NFT_EB40B7D52013	BUYER_0037	113.35	AI/ML Company
NFT_D6217334EC32	BUYER_0041	68.88	Research Institution
NFT_D6217334EC32	BUYER_0043	53.3	Academic Researcher
